目录编号,视频ID,视频标题,视频URL,发布时间,发布时间_格式化,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数
055,7460714101841349929,冰雪“冀” 火起来！总要去河北滑一次雪吧？爱滑雪的同学在哪里#绘说现代化（@河北文旅 ）,https://www.douyin.com/video/7460714101841349929,1737162000,2025-01-18 09:00:00,42,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2532,76,46,160502,41
067,7492360991062248715,搭载Deepseek的机器人在田里巡查，麦田上空的无人机化身“钢铁蜻蜓”来回穿梭......当天府粮仓遇上智慧农业，种地有多强？#绘说现代化,https://www.douyin.com/video/7492360991062248715,1744451250,2025-04-12 17:47:30,60,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2524,88,90,123143,67
083,7533841121898777891,上海港集装箱吞吐量连续15年全球第1👍一起见证上海向海图强的壮阔征程，感受中国式现代化的磅礴力量！#绘说现代化,https://www.douyin.com/video/7533841121898777891,1754109121,2025-08-02 12:32:01,49,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2495,54,14,117655,27
051,7450691959372500287,背诗文免门票、一部剧带火一座城、悟空古建游出圈…旅游强国新潮涌动🔥#绘说现代化,https://www.douyin.com/video/7450691959372500287,1734749457,2024-12-21 10:50:57,72,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2480,114,58,176224,63
049,7445275868512931087,6轴7廊8通道，主骨架加快成型；国产大飞机C919，三大航全部投入运营…交通强国，步履不停！#绘说现代化,https://www.douyin.com/video/7445275868512931087,1733533200,2024-12-07 09:00:00,73,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2424,80,40,149688,42
085,7539380131891088691,海上风电总装机规模全国第一 ，海水鱼养殖产量占全国近半；“梦想”号大洋钻探船建成入列，中华白海豚频频现身海域…广东奏响海洋经济新“粤”章！#绘说现代化,https://www.douyin.com/video/7539380131891088691,1755398731,2025-08-17 10:45:31,43,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2399,80,35,124034,44
070,7500000282186435879,你的浪漫七成来自云南🌷全国每10枝鲜切花7枝来自云南🌷每天有3000万枝鲜切花从昆明斗南花市发往全球50多个国家和地区🌷#绘说现代化,https://www.douyin.com/video/7500000282186435879,1746229911,2025-05-03 07:51:51,50,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2282,70,34,113808,75
069,7497431094980037922,全国每9碗饭里就有1碗来自黑龙江！这就是全国产粮第一大省的春耕含金量👍#绘说现代化,https://www.douyin.com/video/7497431094980037922,1745631885,2025-04-26 09:44:45,48,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2203,87,47,110628,63
066,7488939131784006948,193万亩农田喝上“智慧水”，30万台农机即将开耕3200万亩良田......山西春耕科技感MAX！#绘说现代化,https://www.douyin.com/video/7488939131784006948,1743654697,2025-04-03 12:31:37,49,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2192,126,112,114382,50
094,7561985253934370088,延安老区新能绿动未来！石油资源储量13.8亿吨、天然气资源储量3000亿方、可开发新能源规模1150万千瓦……红色延安向新而动逐绿前行！#绘说现代化  #AI大家创,https://www.douyin.com/video/7561985253934370088,1760661908,2025-10-17 08:45:08,56,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2190,80,21,94092,36
